"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2024","2.40211","2.40677","2.41313","2.40035","","0.00%"
"11/28/2024","2.40211","2.40677","2.41338","2.39999","","0.07%"
"11/27/2024","2.40038","2.40544","2.41342","2.39979","","-0.14%"
"11/26/2024","2.40385","2.40935","2.42134","2.40329","","-0.14%"
"11/25/2024","2.40732","2.41841","2.42248","2.40600","","-0.10%"
"11/22/2024","2.40964","2.42278","2.42572","2.41267","","-0.41%"
"11/21/2024","2.41955","2.41982","2.42719","2.41609","","0.15%"
"11/20/2024","2.41604","2.42131","2.42893","2.41617","","-0.10%"
"11/19/2024","2.41838","2.41982","2.42811","2.41417","","0.12%"
"11/18/2024","2.41546","2.42427","2.42573","2.41323","","0.00%"
"11/15/2024","2.41546","2.42132","2.42849","2.41608","","0.00%"
"11/14/2024","2.41546","2.41505","2.43040","2.41197","","-0.05%"
"11/13/2024","2.41663","2.41687","2.42274","2.41084","","0.12%"
"11/12/2024","2.41371","2.42427","2.42542","2.41018","","-0.17%"
"11/11/2024","2.41774","2.42427","2.42764","2.41254","","-0.03%"
"11/08/2024","2.41838","2.41955","2.42926","2.41104","","0.07%"
"11/07/2024","2.41663","2.41840","2.42222","2.40947","","0.19%"
"11/06/2024","2.41196","2.40993","2.42143","2.40677","","0.34%"
"11/05/2024","2.40385","2.41841","2.42059","2.40562","","-0.26%"
"11/04/2024","2.41022","2.42427","2.42602","2.40952","","-0.33%"
"11/01/2024","2.41832","2.42630","2.42837","2.41433","","-0.24%"
"10/31/2024","2.42424","2.41841","2.43070","2.41692","","-0.02%"
"10/30/2024","2.42477","2.42280","2.42777","2.41564","","0.48%"
"10/29/2024","2.41313","2.41841","2.42481","2.41211","","0.05%"
"10/28/2024","2.41196","2.42427","2.42720","2.41195","","-0.14%"
"10/25/2024","2.41546","2.42427","2.42735","2.41689","","0.00%"
"10/24/2024","2.41546","2.42421","2.42849","2.41808","","-0.22%"
"10/23/2024","2.42072","2.42425","2.42857","2.41822","","0.10%"
"10/22/2024","2.41838","2.42427","2.42881","2.41514","","0.12%"
"10/21/2024","2.41546","2.42427","2.42823","2.41695","","-0.31%"
"10/18/2024","2.42307","2.42719","2.42955","2.42101","","-0.12%"
"10/17/2024","2.42601","2.42427","2.43043","2.41925","","0.12%"
"10/16/2024","2.42307","2.42427","2.43251","2.41975","","0.07%"
"10/15/2024","2.42131","2.42720","2.43325","2.41954","","0.00%"
"10/14/2024","2.42131","2.42427","2.43440","2.42096","","0.24%"
"10/11/2024","2.41546","2.42573","2.43423","2.42084","","-0.12%"
"10/10/2024","2.41838","2.42427","2.43339","2.42008","","-0.36%"
"10/09/2024","2.42718","2.42427","2.43425","2.42055","","0.49%"
"10/08/2024","2.41546","2.42720","2.43470","2.42164","","-0.41%"
"10/07/2024","2.42542","2.42896","2.43198","2.42075","","-0.02%"
"10/04/2024","2.42601","2.42455","2.43312","2.42073","","0.10%"
"10/03/2024","2.42365","2.42367","2.43102","2.41968","","0.34%"
"10/02/2024","2.41546","2.42427","2.42837","2.41788","","-0.10%"
"10/01/2024","2.41779","2.42837","2.43028","2.41908","","-0.24%"
"09/30/2024","2.42365","2.42427","2.43348","2.42025","","0.15%"
"09/27/2024","2.42014","2.43015","2.43309","2.42179","","-0.17%"
"09/26/2024","2.42424","2.42427","2.43220","2.41810","","0.12%"
